,deployment_signal
0,1.280765112
1,1.278651078
2,1.276537044
3,1.274423011
4,1.272308977
5,1.270194944
6,1.26808091
7,1.265966876
8,1.263852843
9,1.261738809
10,1.259624776
11,1.257510742
12,1.255396708
13,1.253282675
14,1.251168641
15,1.249054607
16,1.246940574
17,1.24482654
18,1.242712507
19,1.240598473
20,1.238484439
21,1.236370406
22,1.234256372
23,1.232142339
24,1.230028305
25,1.227914271
26,1.225800238
27,1.223686204
28,1.22157217
29,1.219458137
30,1.217344103
31,1.21523007
32,1.213116036
33,1.211002002
34,1.208887969
35,1.206773935
36,1.204659902
37,1.202545868
38,1.200431834
39,1.198317801
40,1.196203767
41,1.194089733
42,1.1919757
43,1.189861666
44,1.187747633
45,1.185633599
46,1.183519565
47,1.181405532
48,1.179291498
49,1.177177464
50,1.175063431
51,1.172949397
52,1.170835364
53,1.16872133
54,1.166607296
55,1.164493263
56,1.162379229
57,1.160265196
58,1.158151162
59,1.156037128
60,1.153923095
61,1.151809061
62,1.149695027
63,1.147580994
64,1.14546696
65,1.143352927
66,1.141238893
67,1.139124859
68,1.137010826
69,1.134896792
70,1.132782759
71,1.130668725
72,1.128554691
73,1.126440658
74,1.124326624
75,1.12221259
76,1.126684402
77,1.131156215
78,1.135628027
79,1.140099839
80,1.144571651
81,1.149043463
82,1.153515275
83,1.157987087
84,1.162458899
85,1.166930711
86,1.171402523
87,1.175874335
88,1.180346147
89,1.184817959
90,1.189289771
91,1.193761583
92,1.198233395
93,1.202705207
94,1.207177019
95,1.211648831
96,1.216120643
97,1.220592455
98,1.225064267
99,1.229536079
100,1.234007891
101,1.238479703
102,1.242951515
103,1.247423327
104,1.251895139
105,1.256366951
106,1.260838763
107,1.265310575
108,1.269782387
109,1.274254199
110,1.278726011
111,1.283197824
112,1.287669636
113,1.292141448
114,1.29661326
115,1.301085072
116,1.305556884
117,1.310028696
118,1.314500508
119,1.31897232
120,1.323444132
121,1.327915944
122,1.332387756
123,1.336859568
124,1.34133138
125,1.345803192
126,1.350275004
127,1.354746816
128,1.359218628
129,1.36369044
130,1.368162252
131,1.372634064
132,1.377105876
133,1.381577688
134,1.3860495
135,1.390521312
136,1.394993124
137,1.399464936
138,1.403936748
139,1.40840856
140,1.412880372
141,1.417352184
142,1.421823996
143,1.426295808
144,1.430767621
145,1.435239433
146,1.439711245
147,1.444183057
148,1.448654869
149,1.453126681
150,1.457598493
151,1.438163846
152,1.4187292
153,1.399294553
154,1.379859906
155,1.36042526
156,1.340990613
157,1.321555967
158,1.30212132
159,1.282686674
160,1.263252027
161,1.24381738
162,1.224382734
163,1.204948087
164,1.185513441
165,1.166078794
166,1.146644148
167,1.127209501
168,1.107774854
169,1.088340208
170,1.068905561
171,1.049470915
172,1.030036268
173,1.010601622
174,0.991166975
175,0.971732328
176,0.952297682
177,0.932863035
178,0.913428389
179,0.893993742
180,0.874559096
181,0.855124449
182,0.835689802
183,0.816255156
184,0.796820509
185,0.777385863
186,0.757951216
187,0.73851657
188,0.719081923
189,0.699647276
190,0.68021263
191,0.660777983
192,0.641343337
193,0.62190869
194,0.602474044
195,0.583039397
196,0.563604751
197,0.544170104
198,0.524735457
199,0.505300811
200,0.485866164
201,0.466431518
202,0.446996871
203,0.427562225
204,0.408127578
205,0.388692931
206,0.369258285
207,0.349823638
208,0.330388992
209,0.310954345
210,0.291519699
211,0.272085052
212,0.252650405
213,0.233215759
214,0.213781112
215,0.194346466
216,0.174911819
217,0.155477173
218,0.136042526
219,0.116607879
220,0.097173233
221,0.077738586
222,0.05830394
223,0.038869293
224,0.019434647
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
