Date/time (CDT),POWER (MW),WIND SP (m/s)
8/1/2019 0:00,16.69232699,5.810783908
8/1/2019 0:05,22.0302505,6.372001696
8/1/2019 0:10,15.09074212,5.618658413
8/1/2019 0:15,13.47455843,5.410456936
8/1/2019 0:20,16.70575034,5.812341097
8/1/2019 0:25,15.96018058,5.724554543
8/1/2019 0:30,30.97330518,7.134861097
8/1/2019 0:35,44.33289652,8.038151125
8/1/2019 0:40,44.66203081,8.056711646
8/1/2019 0:45,26.79470726,6.79945365
8/1/2019 0:50,28.24130857,6.919032916
8/1/2019 0:55,32.08552697,7.219260794
8/1/2019 1:00,25.03241994,6.647781629
8/1/2019 1:05,22.29012723,6.396835098
8/1/2019 1:10,22.48982363,6.415786285
8/1/2019 1:15,17.18475836,5.867371323
8/1/2019 1:20,19.08121574,6.075362139
8/1/2019 1:25,22.29654846,6.397446239
8/1/2019 1:30,20.7799632,6.249700319
8/1/2019 1:35,16.46469256,5.784248899
8/1/2019 1:40,16.79035084,5.822136112
8/1/2019 1:45,16.92772259,5.837971113
8/1/2019 1:50,14.0405216,5.485171085
8/1/2019 1:55,13.5332235,5.418297522
8/1/2019 2:00,16.62812344,5.803324347
8/1/2019 2:05,18.47815865,6.010975137
8/1/2019 2:10,22.23795302,6.391865037
8/1/2019 2:15,19.88206607,6.1587936
8/1/2019 2:20,17.99566549,5.958245604
8/1/2019 2:25,28.65276438,6.952292303
8/1/2019 2:30,33.84100698,7.34859136
8/1/2019 2:35,38.93062762,7.699930533
8/1/2019 2:40,36.0183259,7.502929168
8/1/2019 2:45,30.96219754,7.134008094
8/1/2019 2:50,35.19130242,7.445058572
8/1/2019 2:55,32.39742257,7.242577629
8/1/2019 3:00,43.32472127,7.979363769
8/1/2019 3:05,45.90501316,8.125949175
8/1/2019 3:10,46.20796797,8.142624017
8/1/2019 3:15,49.62987052,8.325826402
8/1/2019 3:20,53.47737404,8.521471277
8/1/2019 3:25,64.32406008,9.025893097
8/1/2019 3:30,64.22008219,9.02106029
8/1/2019 3:35,57.02228667,8.693122934
8/1/2019 3:40,67.70454857,9.180238904
8/1/2019 3:45,65.91421671,9.099157648
8/1/2019 3:50,49.04696695,8.295261902
8/1/2019 3:55,61.67325165,8.907259544
8/1/2019 4:00,58.15116084,8.746199986
8/1/2019 4:05,63.20120051,8.975112094
8/1/2019 4:10,72.36310046,9.384682024
8/1/2019 4:15,77.47122716,9.598939397
8/1/2019 4:20,83.86046991,9.853973334
8/1/2019 4:25,83.48702923,9.839433262
8/1/2019 4:30,74.84589207,10.01590229
8/1/2019 4:35,76.97515257,9.578555476
8/1/2019 4:40,76.63689157,9.564605557
8/1/2019 4:45,75.12487142,9.501739163
