HRS,MIN,WND_MEAN,WND_STD,PWR_MEAN,PWR_STD
0,0,10.04185719,1.187194489,86.71511019,20.88741205
0,5,9.328767472,1.057298084,72.57340075,21.70584071
0,10,10.70303051,1.168739072,97.41032623,16.69390251
0,15,11.07452723,1.170817858,101.8348438,13.83030272
0,20,10.51404428,1.081140063,95.04687927,17.52940251
0,25,10.64356681,1.068983582,97.00330906,16.53561322
0,30,8.624843253,0.849233155,57.66886058,18.37837556
0,35,7.355696651,0.712349502,35.64761331,12.6964947
0,40,7.282788982,0.695574748,34.50011656,12.34772516
0,45,9.00743494,0.85035419,65.50105107,19.61235411
0,50,8.856449386,0.8279381,62.28366224,18.97723057
0,55,8.458968976,0.784177882,54.30021148,17.05081425
1,0,9.228277443,0.84927947,70.25464112,20.00745926
1,5,9.377723397,0.857449757,73.524044,20.18147839
1,10,9.078623826,0.825187517,66.97600476,19.54227616
1,15,9.568554748,0.864859499,77.68010831,20.15204106
1,20,9.097371296,0.817790326,67.36752706,19.51235153
1,25,8.433790917,0.75397611,53.74091458,16.61774962
1,30,8.451993031,0.75129387,54.07294183,16.66218503
1,35,9.032613781,0.798020825,65.93520145,19.1819776
1,40,8.949604938,0.785444252,64.1358186,18.84127985
1,45,8.874662602,0.773142553,62.5271501,18.49196987
1,50,9.379935157,0.810422324,73.5482649,19.77429409
1,55,9.547964824,0.817244937,77.2473354,19.77708982
2,0,9.079007428,0.768864071,66.88164272,19.00624058
2,5,8.926120569,0.746799385,63.54628979,18.38273607
2,10,8.572388744,0.707455721,56.23126485,16.66373596
2,15,9.015159453,0.732717702,65.42314779,18.48898231
2,20,9.429350154,0.753551683,74.62014263,19.25814592
2,25,8.302272728,0.651332028,51.03334359,14.8862661
2,30,8.059252542,0.619724145,46.77401095,13.58627275
2,35,7.860530573,0.591577743,43.47970596,12.64105614
2,40,8.305558081,0.610935568,50.96424241,14.40008634
2,45,8.913428756,0.640059627,63.00149556,17.18214067
2,50,8.755816017,0.613192612,59.59589403,16.30301503
2,55,9.231510679,0.630068616,70.04919724,17.82810678
3,0,8.425017547,0.638791741,53.21671405,15.24135561
3,5,8.388608865,0.626022001,52.50617927,14.93166106
3,10,8.497396528,0.624367928,54.52069233,15.37177785
3,15,8.44115486,0.611054422,53.42156114,14.96793555
3,20,8.338011364,0.595225143,51.49007105,14.33479088
3,25,7.950839213,0.560492257,44.86483711,12.50026284
3,30,8.074868427,0.563170922,46.88684064,12.92168336
3,35,8.467528014,0.585687872,53.82404213,14.76167699
3,40,8.083703657,0.556233501,47.01363907,12.8611818
3,45,8.259255418,0.567483936,50.01155446,13.65756209
3,50,9.104975238,0.627465808,67.18506281,17.56527332
3,55,8.602903727,0.597697343,56.46151927,15.49145532
4,0,8.788543186,0.619107344,60.29379738,16.49867581
4,5,8.583453441,0.616859959,56.14740995,15.64513528
4,10,8.235889247,0.607504315,49.73287275,14.0786441
4,15,8.024059563,0.611015178,46.17102729,13.36160034
4,20,7.775973683,0.614517879,42.16745988,12.70132889
4,25,7.834757855,0.645620123,43.16063285,13.2169546
4,30,7.697887256,0.664136288,40.99166299,13.07201957
4,35,8.087474345,0.732975541,47.52228421,15.03048391
4,40,8.089852955,0.772244212,47.65413372,15.47969858
4,45,8.105731151,0.816557356,48.02881561,16.01984463
4,50,8.091694981,0.861327624,47.88530725,16.43882122
4,55,7.820590027,0.880211297,43.32890782,15.66880276
